Cell Line Name,Small Molecule Name,Drug Concentration (uM),Time Point (hr),Mean Relative Viability,Mean Apoptosis Fraction
COLO 858,AZ-628,3.16,72,0.213,0.5342
COLO 858,Selumetinib,0.0032,24,0.8441,0.0501
COLO 858,Selumetinib,0.0032,48,0.9832,0.0496
COLO 858,Selumetinib,0.0032,72,0.9742,0.0958
COLO 858,Selumetinib,0.01,24,1.09,0.0441
COLO 858,Selumetinib,0.01,48,1.053,0.049
COLO 858,Selumetinib,0.01,72,1.0453,0.0753
COLO 858,Selumetinib,0.0316,24,1.2379,0.0433
COLO 858,Selumetinib,0.0316,48,1.0642,0.0473
COLO 858,Selumetinib,0.0316,72,0.8432,0.0678
COLO 858,Selumetinib,0.1,24,1.1195,0.0474
COLO 858,Selumetinib,0.1,48,0.7022,0.0649
COLO 858,Selumetinib,0.1,72,0.5449,0.0769
COLO 858,Selumetinib,0.316,24,1.0085,0.083
COLO 858,Selumetinib,0.316,48,0.4546,0.1547
COLO 858,Selumetinib,0.316,72,0.4268,0.1341
COLO 858,Selumetinib,1,24,0.9366,0.1371
COLO 858,Selumetinib,1,48,0.374,0.2319
COLO 858,Selumetinib,1,72,0.3419,0.2586
COLO 858,Selumetinib,3.16,24,0.8558,0.1486
COLO 858,Selumetinib,3.16,48,0.3147,0.3128
COLO 858,Selumetinib,3.16,72,0.2801,0.3831
COLO 858,Vemurafenib,0.0032,24,0.7818,0.0468
COLO 858,Vemurafenib,0.0032,48,0.9264,0.0487
COLO 858,Vemurafenib,0.0032,72,1.2088,0.0879
COLO 858,Vemurafenib,0.01,24,1.0228,0.0448
COLO 858,Vemurafenib,0.01,48,1.0185,0.0502
COLO 858,Vemurafenib,0.01,72,1.1751,0.0831
COLO 858,Vemurafenib,0.0316,24,1.0491,0.0467
COLO 858,Vemurafenib,0.0316,48,1.0025,0.048
COLO 858,Vemurafenib,0.0316,72,1.3134,0.0746
COLO 858,Vemurafenib,0.1,24,0.9884,0.0418
COLO 858,Vemurafenib,0.1,48,0.9327,0.0491
COLO 858,Vemurafenib,0.1,72,1.1526,0.0587
COLO 858,Vemurafenib,0.316,24,0.9158,0.0538
COLO 858,Vemurafenib,0.316,48,0.5742,0.0797
COLO 858,Vemurafenib,0.316,72,0.6802,0.0687
COLO 858,Vemurafenib,1,24,0.8237,0.0998
COLO 858,Vemurafenib,1,48,0.3622,0.194
COLO 858,Vemurafenib,1,72,0.3928,0.2502
COLO 858,Vemurafenib,3.16,24,0.7028,0.1506
COLO 858,Vemurafenib,3.16,48,0.215,0.4525
COLO 858,Vemurafenib,3.16,72,0.1269,0.7234
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,24,,
COLO 858,,0,48,,
COLO 858,,0,48,,
COLO 858,,0,48,,
COLO 858,,0,48,,
COLO 858,,0,48,,
COLO 858,,0,48,,
COLO 858,,0,48,,
